Airport Code;Airport Name;City Name;Country Name;Country Code;Latitude;Longitude;World Area Code;City Name geo_name_id;Country Name geo_name_id;coordinates
ONJ;Odate Noshiro;Odate Noshiro;Japan;JP;40.3;140.55;736;\N;1861060;40.3, 140.55
NJA;Atsugi NAS;Atsugi;Japan;JP;35.454722;139.450278;736;1847963;1861060;35.454722, 139.450278
KUH;Kushiro;Kushiro;Japan;JP;43.033333;144.2;736;2129376;1861060;43.033333, 144.2
IHA;Niihama;Niihama;Japan;JP;33.95;133.3;736;1855425;1861060;33.95, 133.3
MUS;Marcus Island;Marcus Island;Japan;JP;24.287778;153.978333;736;\N;1861060;24.287778, 153.978333
KKJ;Kita Kyushu;Kita Kyushu;Japan;JP;33.845556;131.035;736;\N;1861060;33.845556, 131.035
KIX;Kansai International;Osaka;Japan;JP;34.427222;135.243889;736;1853909;1861060;34.427222, 135.243889
KKX;Kikaiga Shima;Kikaiga Shima;Japan;JP;28.433333;130.008333;736;\N;1861060;28.433333, 130.008333
CTS;New Chitose Airport;Sapporo;Japan;JP;42.8;141.666667;736;2128295;1861060;42.8, 141.666667
DNA;Kadena AB;Okinawa;Japan;JP;26.355556;127.7675;736;1894616;1861060;26.355556, 127.7675
AXT;Akita;Akita;Japan;JP;39.615556;140.218611;736;2113126;1861060;39.615556, 140.218611
WKJ;Hokkaido;Wakkanai;Japan;JP;45.4;141.816667;736;2127515;1861060;45.4, 141.816667
YOK;Yokohama;Yokohama;Japan;JP;35.466667;139.466389;736;1848354;1861060;35.466667, 139.466389
MYE;Miyake Jima;Miyake Jima;Japan;JP;34.066667;139.566667;736;\N;1861060;34.066667, 139.566667
ISG;Ishigaki;Ishigaki;Japan;JP;24.344444;124.186944;736;1861416;1861060;24.344444, 124.186944
KCZ;Kochi;Kochi;Japan;JP;33.55;133.683333;736;1859146;1861060;33.55, 133.683333
SHI;Shimojishima;Shimojishima;Japan;JP;24.816667;125.15;736;\N;1861060;24.816667, 125.15
IKI;Iki;Iki;Japan;JP;33.75;129.783333;736;\N;1861060;33.75, 129.783333
UBJ;Ube;Ube;Japan;JP;33.966667;131.341667;736;1849498;1861060;33.966667, 131.341667
HSG;Saga;Saga;Japan;JP;33.149722;130.302222;736;1853303;1861060;33.149722, 130.302222
KMJ;Kumamoto;Kumamoto;Japan;JP;32.8;130.766667;736;1858421;1861060;32.8, 130.766667
MSJ;Misawa;Misawa;Japan;JP;40.7;141.383333;736;2129211;1861060;40.7, 141.383333
NGS;Nagasaki;Nagasaki;Japan;JP;32.933333;129.933333;736;1856177;1861060;32.933333, 129.933333
OIR;Okushiri;Okushiri;Japan;JP;42.166667;139.516667;736;\N;1861060;42.166667, 139.516667
MMJ;Matsumoto;Matsumoto;Japan;JP;36.283333;138.0;736;1857519;1861060;36.283333, 138.0
HHE;Hachinohe;Hachinohe;Japan;JP;40.55;141.483333;736;2130203;1861060;40.55, 141.483333
HTR;Hateruma;Hateruma;Japan;JP;24.05;123.783333;736;\N;1861060;24.05, 123.783333
IEJ;Iejima;Iejima;Japan;JP;26.733333000000002;127.783333;736;\N;1861060;26.733333000000002, 127.783333
HIJ;International;Hiroshima;Japan;JP;34.436111;132.919444;736;2130054;1861060;34.436111, 132.919444
OKE;Okino Erabu;Okino Erabu;Japan;JP;27.433333;128.616667;736;\N;1861060;27.433333, 128.616667
MYJ;Matsuyama;Matsuyama;Japan;JP;33.816667;132.7;736;\N;1861060;33.816667, 132.7
KUM;Yakushima;Yakushima;Japan;JP;30.333333;130.633333;736;\N;1861060;30.333333, 130.633333
NGO;Centrair;Tokoname;Japan;JP;34.858333;136.805278;736;1850185;1861060;34.858333, 136.805278
KTD;Kitadaito;Kitadaito;Japan;JP;25.95;131.3;736;\N;1861060;25.95, 131.3
KMI;Miyazaki;Miyazaki;Japan;JP;31.866667;131.45;736;1856717;1861060;31.866667, 131.45
RNJ;Yoronjima;Yoronjima;Japan;JP;27.033333;128.433333;736;\N;1861060;27.033333, 128.433333
GAJ;Junmachi;Yamagata;Japan;JP;38.4;140.366667;736;2110556;1861060;38.4, 140.366667
NKM;Komaki AFB;Nagoya;Japan;JP;35.255;136.924444;736;1856057;1861060;35.255, 136.924444
NTQ;Noto Airport;Wajima;Japan;JP;37.4;136.9;736;\N;1861060;37.4, 136.9
SYO;Shonai;Shonai;Japan;JP;38.809444;139.790556;736;1857519;1861060;38.809444, 139.790556
MMY;Hirara;Miyako Jima;Japan;JP;24.783333;125.333333;736;\N;1861060;24.783333, 125.333333
ASJ;Amami O Shima;Amami O Shima;Japan;JP;28.416667;129.7;736;\N;1861060;28.416667, 129.7
OIT;Oita;Oita;Japan;JP;33.25;131.633333;736;1854487;1861060;33.25, 131.633333
KOJ;Kagoshima;Kagoshima;Japan;JP;31.803333;130.719444;736;1860827;1861060;31.803333, 130.719444
TJH;Tajima;Toyooka;Japan;JP;35.512778;134.786944;736;1849831;1861060;35.512778, 134.786944
HNA;Hanamaki;Hanamaki;Japan;JP;39.733333;141.116667;736;2112823;1861060;39.733333, 141.116667
IZO;Izumo;Izumo;Japan;JP;35.416667;132.666667;736;1861084;1861060;35.416667, 132.666667
UKY;Kansai;Kyoto;Japan;JP;35.0;135.75;736;1857910;1861060;35.0, 135.75
YGJ;Miho;Yonago;Japan;JP;35.45;133.316667;736;1848277;1861060;35.45, 133.316667
IWJ;Iwami;Iwami;Japan;JP;-10.45;150.333333;736;\N;1861060;-10.45, 150.333333
TAK;Takamatsu;Takamatsu;Japan;JP;34.75;133.516667;736;1851100;1861060;34.75, 133.516667
OIM;Oshima;Oshima;Japan;JP;34.783333;139.366667;736;\N;1861060;34.783333, 139.366667
HND;Tokyo Haneda International;Tokyo;Japan;JP;35.552222;139.779722;736;1850147;1861060;35.552222, 139.779722
HAC;Hachijo Jima;Hachijo Jima;Japan;JP;33.166667;139.8;736;\N;1861060;33.166667, 139.8
MMB;Memanbetsu;Memanbetsu;Japan;JP;43.9;144.166667;736;\N;1861060;43.9, 144.166667
SDJ;Sendai;Sendai;Japan;JP;38.133333;140.916667;736;2111149;1861060;38.133333, 140.916667
OMJ;Omura;Omura;Japan;JP;35.083333;140.1;736;1854093;1861060;35.083333, 140.1
KUJ;Kushimoto;Kushimoto;Japan;JP;33.433333;135.783333;736;\N;1861060;33.433333, 135.783333
ITM;Itami;Osaka;Japan;JP;34.785278;135.438056;736;1853909;1861060;34.785278, 135.438056
SDS;Sado Shima;Sado Shima;Japan;JP;43.0;142.675;736;\N;1861060;43.0, 142.675
UKB;Kobe;Kobe;Japan;JP;34.632778;135.223889;736;1859171;1861060;34.632778, 135.223889
HKD;Hakodate;Hakodate;Japan;JP;41.766667;140.816667;736;2130188;1861060;41.766667, 140.816667
TOY;Toyama;Toyama;Japan;JP;36.648333;137.1875;736;1849876;1861060;36.648333, 137.1875
TRA;Tarama;Taramajima;Japan;JP;24.65;124.7;736;\N;1861060;24.65, 124.7
SHB;Nakashibetsu;Nakashibetsu;Japan;JP;43.580278;144.96;736;\N;1861060;43.580278, 144.96
OGN;Yonaguni Jima;Yonaguni Jima;Japan;JP;24.466667;122.983333;736;\N;1861060;24.466667, 122.983333
MBE;Monbetsu;Monbetsu;Japan;JP;44.266667;143.383333;736;2129163;1861060;44.266667, 143.383333
KMQ;Komatsu;Komatsu;Japan;JP;36.383333;136.416667;736;1858910;1861060;36.383333, 136.416667
RIS;Rishiri;Rishiri;Japan;JP;45.183333;141.25;736;\N;1861060;45.183333, 141.25
SDO;Ryotsu Sado Is;Ryotsu Sado Is;Japan;JP;38.083333;138.433333;736;\N;1861060;38.083333, 138.433333
SHM;Shirahama;Shirahama;Japan;JP;33.7;134.366667;736;\N;1861060;33.7, 134.366667
TTJ;Tottori;Tottori;Japan;JP;35.5;134.25;736;1849892;1861060;35.5, 134.25
AKJ;Asahikawa;Asahikawa;Japan;JP;43.5;142.508333;736;2130629;1861060;43.5, 142.508333
BPU;Beppu;Beppu;Japan;JP;33.3;131.533333;736;1864750;1861060;33.3, 131.533333
OBO;Obihiro;Obihiro;Japan;JP;42.883333;143.166667;736;2128815;1861060;42.883333, 143.166667
FKJ;Fukui;Fukui;Japan;JP;36.083333;136.25;736;1863985;1861060;36.083333, 136.25
OKO;Yokota Afb;Tokyo;Japan;JP;35.748611;139.348611;736;1850147;1861060;35.748611, 139.348611
OKJ;Okayama;Okayama;Japan;JP;34.583333;133.933333;736;1854383;1861060;34.583333, 133.933333
AOJ;Aomori;Aomori;Japan;JP;40.733333;140.7;736;2130658;1861060;40.733333, 140.7
RBJ;Rebun;Rebun;Japan;JP;45.383333;141.033333;736;\N;1861060;45.383333, 141.033333
HIW;Hiroshima West;Hiroshima;Japan;JP;34.366944;132.413889;736;2130054;1861060;34.366944, 132.413889
OKA;Naha;Okinawa;Japan;JP;26.333333;127.833333;736;1894616;1861060;26.333333, 127.833333
XZJ;Off line Point;Rail;Japan;JP;37.716667;28.966667;736;\N;1861060;37.716667, 28.966667
TSJ;Tsushima;Tsushima;Japan;JP;35.0;130.0;736;1849539;1861060;35.0, 130.0
TKS;Tokushima;Tokushima;Japan;JP;34.132778;134.606389;736;1850158;1861060;34.132778, 134.606389
IIN;Nishinoomote;Nishinoomote;Japan;JP;30.833333;131.008333;736;1855203;1861060;30.833333, 131.008333
OKD;Okadama;Sapporo;Japan;JP;43.133333;141.383333;736;2128295;1861060;43.133333, 141.383333
NRT;New Tokyo International Airport;Tokyo;Japan;JP;35.763889;140.391667;736;1850147;1861060;35.763889, 140.391667
TKN;Tokunoshima;Tokunoshima;Japan;JP;33.95;131.316667;736;\N;1861060;33.95, 131.316667
OKI;Oki Island;Oki Island;Japan;JP;36.166667;133.316667;736;\N;1861060;36.166667, 133.316667
KIJ;Niigata;Niigata;Japan;JP;37.95;139.116667;736;1855431;1861060;37.95, 139.116667
AGJ;Aguni;Aguni;Japan;JP;26.833333;127.166667;736;\N;1861060;26.833333, 127.166667
MMD;Maridor;Minami Daito;Japan;JP;25.833333;131.25;736;\N;1861060;25.833333, 131.25
FUK;Fukuoka;Fukuoka;Japan;JP;33.583333;130.45;736;1863967;1861060;33.583333, 130.45
FUJ;Fukue;Fukue;Japan;JP;32.666667;128.833333;736;1863997;1861060;32.666667, 128.833333
TNE;Tanegashima;Tanegashima;Japan;JP;30.51;-8.28;736;\N;1861060;30.51, -8.28
AHA;Naha Air Force Base;Okinawa;Japan;JP;26.2;127.65;736;1894616;1861060;26.2, 127.65
UEO;Kumejima;Kumejima;Japan;JP;26.366667;126.716667;736;\N;1861060;26.366667, 126.716667
IWO;Iwo Jima Airbase;Iwo Jima Vol;Japan;JP;24.783333;141.333333;736;\N;1861060;24.783333, 141.333333
